PrevToken	Token	NextToken	Label
chia	seeds	with	I-OLD
seeds	with	coconut milk	O
with	coconut milk	<END>	B-NEW
<START>	please	use	O
please	use	honey	O
use	honey	instead	B-NEW
honey	instead	of	O
instead	of	chicken	O
of	chicken	<END>	B-OLD
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	coconut milk	O
include	coconut milk	<END>	B-NEW
<START>	use	yogurt	O
use	yogurt	instead	B-NEW
yogurt	instead	of	O
instead	of	vegan cheese	O
of	vegan cheese	<END>	B-OLD
<START>	i	prefer	O
i	prefer	olive oil	O
prefer	olive oil	over	B-OLD
olive oil	over	quinoa	O
over	quinoa	<END>	B-NEW
<START>	throw	in	O
throw	in	some	O
in	some	sugar	O
some	sugar	<END>	B-NEW
<START>	eliminate	cheese	O
eliminate	cheese	<END>	B-OLD
<START>	please	add	O
please	add	coconut milk	O
add	coconut milk	<END>	B-NEW
<START>	dont	use	O
dont	use	chia	O
use	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	exchange	milk	O
exchange	milk	with	B-OLD
milk	with	eggs	O
with	eggs	<END>	B-NEW
<START>	replace	coconut milk	O
replace	coconut milk	with	B-OLD
coconut milk	with	honey	O
with	honey	<END>	B-NEW
<START>	substitute	flour	O
substitute	flour	for	B-OLD
flour	for	quinoa	O
for	quinoa	<END>	B-NEW
<START>	can	you	O
can	you	add	O
you	add	cheese	O
add	cheese	?	B-NEW
cheese	?	<END>	I-NEW
<START>	can	you	O
can	you	remove	O
you	remove	cheese	O
remove	cheese	?	B-OLD
cheese	?	<END>	I-OLD
<START>	substitute	milk	O
substitute	milk	for	B-OLD
milk	for	butter	O
for	butter	<END>	B-NEW
<START>	eliminate	cheese	O
eliminate	cheese	<END>	B-OLD
<START>	please	add	O
please	add	beef	O
add	beef	<END>	B-NEW
<START>	use	milk	O
use	milk	instead	B-NEW
milk	instead	of	O
instead	of	coconut milk	O
of	coconut milk	<END>	B-OLD
<START>	i	prefer	O
i	prefer	almond milk	O
prefer	almond milk	over	B-OLD
almond milk	over	cheese	O
over	cheese	<END>	B-NEW
<START>	exclude	vegan cheese	O
exclude	vegan cheese	<END>	B-OLD
<START>	i	prefer	O
i	prefer	oat flour	O
prefer	oat flour	over	B-OLD
oat flour	over	beef	O
over	beef	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	milk	O
of	milk	<END>	B-OLD
<START>	substitute	honey	O
substitute	honey	for	B-OLD
honey	for	vegan cheese	O
for	vegan cheese	<END>	B-NEW
<START>	delete	sugar	O
delete	sugar	from	B-OLD
sugar	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	dont	use	O
dont	use	chia	O
use	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	please	use	O
please	use	tofu	O
use	tofu	instead	B-NEW
tofu	instead	of	O
instead	of	yogurt	O
of	yogurt	<END>	B-OLD
<START>	change	chia	O
change	chia	seeds	B-OLD
chia	seeds	to	I-OLD
seeds	to	coconut milk	O
to	coconut milk	<END>	B-OLD
<START>	can	you	O
can	you	add	O
you	add	rice	O
add	rice	?	B-NEW
rice	?	<END>	I-NEW
<START>	include	mushroom	O
include	mushroom	please	B-NEW
mushroom	please	<END>	O
<START>	exchange	beef	O
exchange	beef	with	B-OLD
beef	with	oat flour	O
with	oat flour	<END>	B-NEW
<START>	exchange	milk	O
exchange	milk	with	B-OLD
milk	with	sugar	O
with	sugar	<END>	B-NEW
<START>	lets	put	O
lets	put	rice	O
put	rice	in	B-NEW
rice	in	it	O
in	it	<END>	O
<START>	replace	beef	O
replace	beef	with	B-OLD
beef	with	vegan cheese	O
with	vegan cheese	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	yogurt	O
remove	yogurt	?	B-OLD
yogurt	?	<END>	I-OLD
<START>	please	add	O
please	add	milk	O
add	milk	<END>	B-NEW
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	butter	O
include	butter	<END>	B-NEW
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	cheese	O
add	cheese	<END>	B-NEW
<START>	take	out	O
take	out	mushroom	O
out	mushroom	<END>	B-OLD
<START>	can	you	O
can	you	remove	O
you	remove	almond milk	O
remove	almond milk	?	B-OLD
almond milk	?	<END>	I-OLD
<START>	please	use	O
please	use	cheese	O
use	cheese	instead	B-NEW
cheese	instead	of	O
instead	of	flour	O
of	flour	<END>	B-OLD
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	coconut milk	O
add	coconut milk	<END>	B-NEW
<START>	replace	cheese	O
replace	cheese	with	B-OLD
cheese	with	chia	O
with	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	coconut milk	O
of	coconut milk	<END>	B-OLD
<START>	no	olive oil	O
no	olive oil	in	B-OLD
olive oil	in	this	O
in	this	<END>	O
<START>	exchange	honey	O
exchange	honey	with	B-OLD
honey	with	flour	O
with	flour	<END>	B-NEW
<START>	take	out	O
take	out	mushroom	O
out	mushroom	<END>	B-OLD
<START>	throw	in	O
throw	in	some	O
in	some	oat flour	O
some	oat flour	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	mushroom	O
of	mushroom	<END>	B-OLD
<START>	i	prefer	O
i	prefer	tofu	O
prefer	tofu	over	B-OLD
tofu	over	butter	O
over	butter	<END>	B-NEW
<START>	change	coconut milk	O
change	coconut milk	to	B-OLD
coconut milk	to	chicken	O
to	chicken	<END>	B-OLD
<START>	can	you	O
can	you	remove	O
you	remove	vegan cheese	O
remove	vegan cheese	?	B-OLD
vegan cheese	?	<END>	I-OLD
<START>	use	oat flour	O
use	oat flour	instead	B-NEW
oat flour	instead	of	O
instead	of	cheese	O
of	cheese	<END>	B-OLD
<START>	please	use	O
please	use	quinoa	O
use	quinoa	instead	B-NEW
quinoa	instead	of	O
instead	of	cheese	O
of	cheese	<END>	B-OLD
<START>	i	prefer	O
i	prefer	yogurt	O
prefer	yogurt	over	B-OLD
yogurt	over	beef	O
over	beef	<END>	B-NEW
<START>	add	eggs	O
add	eggs	to	B-NEW
eggs	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	exclude	chia	O
exclude	chia	seeds	B-OLD
chia	seeds	<END>	I-OLD
<START>	add	sugar	O
add	sugar	<END>	B-NEW
<START>	substitute	oat flour	O
substitute	oat flour	for	B-OLD
oat flour	for	chia	O
for	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	eliminate	chia	O
eliminate	chia	seeds	B-OLD
chia	seeds	<END>	I-OLD
<START>	can	we	O
can	we	swap	O
we	swap	honey	O
swap	honey	with	B-OLD
honey	with	eggs	O
with	eggs	?	B-NEW
eggs	?	<END>	I-NEW
<START>	throw	in	O
throw	in	some	O
in	some	eggs	O
some	eggs	<END>	B-NEW
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	cheese	O
include	cheese	<END>	B-NEW
<START>	remove	yogurt	O
remove	yogurt	<END>	B-OLD
<START>	eliminate	beef	O
eliminate	beef	<END>	B-OLD
<START>	delete	oat flour	O
delete	oat flour	from	B-OLD
oat flour	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	chia	O
add	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	delete	vegan cheese	O
delete	vegan cheese	from	B-OLD
vegan cheese	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	skip	the	O
skip	the	mushroom	O
the	mushroom	<END>	B-OLD
<START>	lets	put	O
lets	put	almond milk	O
put	almond milk	in	B-NEW
almond milk	in	it	O
in	it	<END>	O
<START>	lets	put	O
lets	put	coconut milk	O
put	coconut milk	in	B-NEW
coconut milk	in	it	O
in	it	<END>	O
<START>	substitute	flour	O
substitute	flour	for	B-OLD
flour	for	sugar	O
for	sugar	<END>	B-NEW
<START>	lets	put	O
lets	put	cheese	O
put	cheese	in	B-NEW
cheese	in	it	O
in	it	<END>	O
<START>	i	prefer	O
i	prefer	cheese	O
prefer	cheese	over	B-OLD
cheese	over	chicken	O
over	chicken	<END>	B-NEW
<START>	add	coconut milk	O
add	coconut milk	to	B-NEW
coconut milk	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	beef	O
include	beef	<END>	B-NEW
<START>	i	prefer	O
i	prefer	beef	O
prefer	beef	over	B-OLD
beef	over	tofu	O
over	tofu	<END>	B-NEW
<START>	throw	in	O
throw	in	some	O
in	some	chia	O
some	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	can	we	O
can	we	swap	O
we	swap	flour	O
swap	flour	with	B-OLD
flour	with	cheese	O
with	cheese	?	B-NEW
cheese	?	<END>	I-NEW
<START>	take	out	O
take	out	eggs	O
out	eggs	<END>	B-OLD
<START>	throw	in	O
throw	in	some	O
in	some	butter	O
some	butter	<END>	B-NEW
<START>	remove	honey	O
remove	honey	<END>	B-OLD
<START>	can	you	O
can	you	add	O
you	add	flour	O
add	flour	?	B-NEW
flour	?	<END>	I-NEW
<START>	replace	yogurt	O
replace	yogurt	with	B-OLD
yogurt	with	vegan cheese	O
with	vegan cheese	<END>	B-NEW
<START>	lets	put	O
lets	put	quinoa	O
put	quinoa	in	B-NEW
quinoa	in	it	O
in	it	<END>	O
<START>	take	out	O
take	out	milk	O
out	milk	<END>	B-OLD
<START>	take	out	O
take	out	honey	O
out	honey	<END>	B-OLD
<START>	switch	flour	O
switch	flour	for	B-OLD
flour	for	chia	O
for	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	no	cheese	O
no	cheese	in	B-OLD
cheese	in	this	O
in	this	<END>	O
<START>	change	beef	O
change	beef	to	B-OLD
beef	to	tofu	O
to	tofu	<END>	B-OLD
<START>	lets	put	O
lets	put	sugar	O
put	sugar	in	B-NEW
sugar	in	it	O
in	it	<END>	O
<START>	dont	use	O
dont	use	sugar	O
use	sugar	<END>	B-NEW
<START>	delete	beef	O
delete	beef	from	B-OLD
beef	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	include	tofu	O
include	tofu	please	B-NEW
tofu	please	<END>	O
<START>	exchange	coconut milk	O
exchange	coconut milk	with	B-OLD
coconut milk	with	rice	O
with	rice	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	quinoa	O
of	quinoa	<END>	B-OLD
<START>	add	flour	O
add	flour	to	B-NEW
flour	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	coconut milk	O
of	coconut milk	<END>	B-OLD
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	yogurt	O
add	yogurt	<END>	B-NEW
<START>	insert	eggs	O
insert	eggs	to	B-NEW
eggs	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	substitute	mushroom	O
substitute	mushroom	for	B-OLD
mushroom	for	vegan cheese	O
for	vegan cheese	<END>	B-NEW
<START>	change	butter	O
change	butter	to	B-OLD
butter	to	mushroom	O
to	mushroom	<END>	B-OLD
<START>	add	flour	O
add	flour	to	B-NEW
flour	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	add	cheese	O
add	cheese	<END>	B-NEW
<START>	take	out	O
take	out	tofu	O
out	tofu	<END>	B-OLD
<START>	can	you	O
can	you	remove	O
you	remove	mushroom	O
remove	mushroom	?	B-OLD
mushroom	?	<END>	I-OLD
<START>	include	yogurt	O
include	yogurt	please	B-NEW
yogurt	please	<END>	O
<START>	add	yogurt	O
add	yogurt	<END>	B-NEW
<START>	replace	cheese	O
replace	cheese	with	B-OLD
cheese	with	mushroom	O
with	mushroom	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	tofu	O
of	tofu	<END>	B-OLD
<START>	exclude	oat flour	O
exclude	oat flour	<END>	B-OLD
<START>	add	oat flour	O
add	oat flour	to	B-NEW
oat flour	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	replace	chia	O
replace	chia	seeds	B-OLD
chia	seeds	with	I-OLD
seeds	with	chicken	O
with	chicken	<END>	B-NEW
<START>	dont	use	O
dont	use	almond milk	O
use	almond milk	<END>	B-NEW
<START>	take	out	O
take	out	beef	O
out	beef	<END>	B-OLD
<START>	insert	milk	O
insert	milk	to	B-NEW
milk	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	i	prefer	O
i	prefer	butter	O
prefer	butter	over	B-OLD
butter	over	rice	O
over	rice	<END>	B-NEW
<START>	replace	chia	O
replace	chia	seeds	B-OLD
chia	seeds	with	I-OLD
seeds	with	milk	O
with	milk	<END>	B-NEW
<START>	trade	chicken	O
trade	chicken	for	B-OLD
chicken	for	cheese	O
for	cheese	<END>	B-NEW
<START>	take	out	O
take	out	chicken	O
out	chicken	<END>	B-OLD
<START>	get	rid	O
get	rid	of	O
rid	of	mushroom	O
of	mushroom	<END>	B-OLD
<START>	please	add	O
please	add	olive oil	O
add	olive oil	<END>	B-NEW
<START>	no	chicken	O
no	chicken	in	B-OLD
chicken	in	this	O
in	this	<END>	O
<START>	insert	chicken	O
insert	chicken	to	B-NEW
chicken	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	dont	use	O
dont	use	almond milk	O
use	almond milk	<END>	B-NEW
<START>	throw	in	O
throw	in	some	O
in	some	mushroom	O
some	mushroom	<END>	B-NEW
<START>	trade	chia	O
trade	chia	seeds	B-OLD
chia	seeds	for	I-OLD
seeds	for	yogurt	O
for	yogurt	<END>	B-NEW
<START>	eliminate	honey	O
eliminate	honey	<END>	B-OLD
<START>	include	beef	O
include	beef	please	B-NEW
beef	please	<END>	O
<START>	use	oat flour	O
use	oat flour	instead	B-NEW
oat flour	instead	of	O
instead	of	tofu	O
of	tofu	<END>	B-OLD
<START>	trade	quinoa	O
trade	quinoa	for	B-OLD
quinoa	for	eggs	O
for	eggs	<END>	B-NEW
<START>	can	we	O
can	we	swap	O
we	swap	flour	O
swap	flour	with	B-OLD
flour	with	beef	O
with	beef	?	B-NEW
beef	?	<END>	I-NEW
<START>	can	we	O
can	we	swap	O
we	swap	sugar	O
swap	sugar	with	B-OLD
sugar	with	eggs	O
with	eggs	?	B-NEW
eggs	?	<END>	I-NEW
<START>	replace	beef	O
replace	beef	with	B-OLD
beef	with	quinoa	O
with	quinoa	<END>	B-NEW
<START>	can	we	O
can	we	swap	O
we	swap	rice	O
swap	rice	with	B-OLD
rice	with	cheese	O
with	cheese	?	B-NEW
cheese	?	<END>	I-NEW
<START>	exclude	cheese	O
exclude	cheese	<END>	B-OLD
<START>	skip	the	O
skip	the	vegan cheese	O
the	vegan cheese	<END>	B-OLD
<START>	include	sugar	O
include	sugar	please	B-NEW
sugar	please	<END>	O
<START>	please	use	O
please	use	almond milk	O
use	almond milk	instead	B-NEW
almond milk	instead	of	O
instead	of	chia	O
of	chia	seeds	B-OLD
chia	seeds	<END>	I-OLD
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	honey	O
include	honey	<END>	B-NEW
<START>	insert	tofu	O
insert	tofu	to	B-NEW
tofu	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	switch	tofu	O
switch	tofu	for	B-OLD
tofu	for	honey	O
for	honey	<END>	B-NEW
<START>	get	rid	O
get	rid	of	O
rid	of	olive oil	O
of	olive oil	<END>	B-OLD
<START>	i	prefer	O
i	prefer	quinoa	O
prefer	quinoa	over	B-OLD
quinoa	over	sugar	O
over	sugar	<END>	B-NEW
<START>	add	olive oil	O
add	olive oil	to	B-NEW
olive oil	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	exchange	tofu	O
exchange	tofu	with	B-OLD
tofu	with	oat flour	O
with	oat flour	<END>	B-NEW
<START>	take	out	O
take	out	honey	O
out	honey	<END>	B-OLD
<START>	dont	use	O
dont	use	tofu	O
use	tofu	<END>	B-NEW
<START>	exclude	milk	O
exclude	milk	<END>	B-OLD
<START>	exchange	coconut milk	O
exchange	coconut milk	with	B-OLD
coconut milk	with	eggs	O
with	eggs	<END>	B-NEW
<START>	eliminate	vegan cheese	O
eliminate	vegan cheese	<END>	B-OLD
<START>	add	yogurt	O
add	yogurt	to	B-NEW
yogurt	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	can	we	O
can	we	swap	O
we	swap	eggs	O
swap	eggs	with	B-OLD
eggs	with	rice	O
with	rice	?	B-NEW
rice	?	<END>	I-NEW
<START>	can	we	O
can	we	swap	O
we	swap	tofu	O
swap	tofu	with	B-OLD
tofu	with	eggs	O
with	eggs	?	B-NEW
eggs	?	<END>	I-NEW
<START>	use	beef	O
use	beef	instead	B-NEW
beef	instead	of	O
instead	of	almond milk	O
of	almond milk	<END>	B-OLD
<START>	trade	eggs	O
trade	eggs	for	B-OLD
eggs	for	cheese	O
for	cheese	<END>	B-NEW
<START>	no	sugar	O
no	sugar	in	B-OLD
sugar	in	this	O
in	this	<END>	O
<START>	add	honey	O
add	honey	to	B-NEW
honey	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	sugar	O
remove	sugar	?	B-OLD
sugar	?	<END>	I-OLD
<START>	get	rid	O
get	rid	of	O
rid	of	milk	O
of	milk	<END>	B-OLD
<START>	include	beef	O
include	beef	please	B-NEW
beef	please	<END>	O
<START>	exchange	quinoa	O
exchange	quinoa	with	B-OLD
quinoa	with	olive oil	O
with	olive oil	<END>	B-NEW
<START>	dont	use	O
dont	use	oat flour	O
use	oat flour	<END>	B-NEW
<START>	lets	put	O
lets	put	almond milk	O
put	almond milk	in	B-NEW
almond milk	in	it	O
in	it	<END>	O
<START>	skip	the	O
skip	the	sugar	O
the	sugar	<END>	B-OLD
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	vegan cheese	O
include	vegan cheese	<END>	B-NEW
<START>	include	sugar	O
include	sugar	please	B-NEW
sugar	please	<END>	O
<START>	please	use	O
please	use	beef	O
use	beef	instead	B-NEW
beef	instead	of	O
instead	of	olive oil	O
of	olive oil	<END>	B-OLD
<START>	lets	put	O
lets	put	sugar	O
put	sugar	in	B-NEW
sugar	in	it	O
in	it	<END>	O
<START>	switch	tofu	O
switch	tofu	for	B-OLD
tofu	for	olive oil	O
for	olive oil	<END>	B-NEW
<START>	use	rice	O
use	rice	instead	B-NEW
rice	instead	of	O
instead	of	eggs	O
of	eggs	<END>	B-OLD
<START>	insert	coconut milk	O
insert	coconut milk	to	B-NEW
coconut milk	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	insert	chicken	O
insert	chicken	to	B-NEW
chicken	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	include	yogurt	O
include	yogurt	please	B-NEW
yogurt	please	<END>	O
<START>	change	quinoa	O
change	quinoa	to	B-OLD
quinoa	to	oat flour	O
to	oat flour	<END>	B-OLD
<START>	no	rice	O
no	rice	in	B-OLD
rice	in	this	O
in	this	<END>	O
<START>	throw	in	O
throw	in	some	O
in	some	chia	O
some	chia	seeds	B-NEW
chia	seeds	<END>	I-NEW
<START>	remove	eggs	O
remove	eggs	<END>	B-OLD
<START>	exclude	chia	O
exclude	chia	seeds	B-OLD
chia	seeds	<END>	I-OLD
<START>	lets	put	O
lets	put	sugar	O
put	sugar	in	B-NEW
sugar	in	it	O
in	it	<END>	O
<START>	can	we	O
can	we	swap	O
we	swap	rice	O
swap	rice	with	B-OLD
rice	with	coconut milk	O
with	coconut milk	?	B-NEW
coconut milk	?	<END>	I-NEW
<START>	eliminate	tofu	O
eliminate	tofu	<END>	B-OLD
<START>	exclude	sugar	O
exclude	sugar	<END>	B-OLD
<START>	trade	milk	O
trade	milk	for	B-OLD
milk	for	eggs	O
for	eggs	<END>	B-NEW
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	flour	O
add	flour	<END>	B-NEW
<START>	throw	in	O
throw	in	some	O
in	some	sugar	O
some	sugar	<END>	B-NEW
<START>	please	use	O
please	use	rice	O
use	rice	instead	B-NEW
rice	instead	of	O
instead	of	flour	O
of	flour	<END>	B-OLD
<START>	remove	cheese	O
remove	cheese	<END>	B-OLD
<START>	no	chicken	O
no	chicken	in	B-OLD
chicken	in	this	O
in	this	<END>	O
<START>	replace	yogurt	O
replace	yogurt	with	B-OLD
yogurt	with	almond milk	O
with	almond milk	<END>	B-NEW
<START>	i	prefer	O
i	prefer	honey	O
prefer	honey	over	B-OLD
honey	over	chicken	O
over	chicken	<END>	B-NEW
<START>	skip	the	O
skip	the	flour	O
the	flour	<END>	B-OLD
<START>	can	you	O
can	you	add	O
you	add	olive oil	O
add	olive oil	?	B-NEW
olive oil	?	<END>	I-NEW
<START>	switch	sugar	O
switch	sugar	for	B-OLD
sugar	for	cheese	O
for	cheese	<END>	B-NEW
<START>	can	you	O
can	you	add	O
you	add	rice	O
add	rice	?	B-NEW
rice	?	<END>	I-NEW
<START>	take	out	O
take	out	butter	O
out	butter	<END>	B-OLD
<START>	i	want	O
i	want	to	O
want	to	include	O
to	include	coconut milk	O
include	coconut milk	<END>	B-NEW
<START>	substitute	coconut milk	O
substitute	coconut milk	for	B-OLD
coconut milk	for	chicken	O
for	chicken	<END>	B-NEW
<START>	delete	sugar	O
delete	sugar	from	B-OLD
sugar	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	exchange	chia	O
exchange	chia	seeds	B-OLD
chia	seeds	with	I-OLD
seeds	with	milk	O
with	milk	<END>	B-NEW
<START>	trade	olive oil	O
trade	olive oil	for	B-OLD
olive oil	for	coconut milk	O
for	coconut milk	<END>	B-NEW
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	sugar	O
add	sugar	<END>	B-NEW
<START>	can	you	O
can	you	remove	O
you	remove	mushroom	O
remove	mushroom	?	B-OLD
mushroom	?	<END>	I-OLD
<START>	get	rid	O
get	rid	of	O
rid	of	oat flour	O
of	oat flour	<END>	B-OLD
<START>	delete	oat flour	O
delete	oat flour	from	B-OLD
oat flour	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	delete	beef	O
delete	beef	from	B-OLD
beef	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	can	we	O
can	we	swap	O
we	swap	mushroom	O
swap	mushroom	with	B-OLD
mushroom	with	quinoa	O
with	quinoa	?	B-NEW
quinoa	?	<END>	I-NEW
<START>	use	chia	O
use	chia	seeds	B-NEW
chia	seeds	instead	I-NEW
seeds	instead	of	O
instead	of	beef	O
of	beef	<END>	B-OLD
<START>	can	you	O
can	you	add	O
you	add	butter	O
add	butter	?	B-NEW
butter	?	<END>	I-NEW
<START>	skip	the	O
skip	the	sugar	O
the	sugar	<END>	B-OLD
<START>	take	out	O
take	out	almond milk	O
out	almond milk	<END>	B-OLD
<START>	throw	in	O
throw	in	some	O
in	some	vegan cheese	O
some	vegan cheese	<END>	B-NEW
<START>	skip	the	O
skip	the	yogurt	O
the	yogurt	<END>	B-OLD
<START>	exclude	honey	O
exclude	honey	<END>	B-OLD
<START>	can	we	O
can	we	swap	O
we	swap	cheese	O
swap	cheese	with	B-OLD
cheese	with	oat flour	O
with	oat flour	?	B-NEW
oat flour	?	<END>	I-NEW
<START>	can	you	O
can	you	remove	O
you	remove	almond milk	O
remove	almond milk	?	B-OLD
almond milk	?	<END>	I-OLD
<START>	substitute	milk	O
substitute	milk	for	B-OLD
milk	for	cheese	O
for	cheese	<END>	B-NEW
<START>	use	chia	O
use	chia	seeds	B-NEW
chia	seeds	instead	I-NEW
seeds	instead	of	O
instead	of	beef	O
of	beef	<END>	B-OLD
<START>	skip	the	O
skip	the	chia	O
the	chia	seeds	B-OLD
chia	seeds	<END>	I-OLD
<START>	can	we	O
can	we	swap	O
we	swap	oat flour	O
swap	oat flour	with	B-OLD
oat flour	with	honey	O
with	honey	?	B-NEW
honey	?	<END>	I-NEW
<START>	remove	chicken	O
remove	chicken	<END>	B-OLD
<START>	switch	mushroom	O
switch	mushroom	for	B-OLD
mushroom	for	beef	O
for	beef	<END>	B-NEW
<START>	add	sugar	O
add	sugar	<END>	B-NEW
<START>	delete	mushroom	O
delete	mushroom	from	B-OLD
mushroom	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	exchange	sugar	O
exchange	sugar	with	B-OLD
sugar	with	chicken	O
with	chicken	<END>	B-NEW
<START>	change	butter	O
change	butter	to	B-OLD
butter	to	vegan cheese	O
to	vegan cheese	<END>	B-OLD
<START>	can	you	O
can	you	remove	O
you	remove	honey	O
remove	honey	?	B-OLD
honey	?	<END>	I-OLD
<START>	change	olive oil	O
change	olive oil	to	B-OLD
olive oil	to	beef	O
to	beef	<END>	B-OLD
<START>	change	eggs	O
change	eggs	to	B-OLD
eggs	to	oat flour	O
to	oat flour	<END>	B-OLD
<START>	get	rid	O
get	rid	of	O
rid	of	beef	O
of	beef	<END>	B-OLD
<START>	i	prefer	O
i	prefer	milk	O
prefer	milk	over	B-OLD
milk	over	chicken	O
over	chicken	<END>	B-NEW
<START>	lets	put	O
lets	put	beef	O
put	beef	in	B-NEW
beef	in	it	O
in	it	<END>	O
<START>	can	you	O
can	you	remove	O
you	remove	quinoa	O
remove	quinoa	?	B-OLD
quinoa	?	<END>	I-OLD
<START>	please	use	O
please	use	sugar	O
use	sugar	instead	B-NEW
sugar	instead	of	O
instead	of	quinoa	O
of	quinoa	<END>	B-OLD
<START>	skip	the	O
skip	the	eggs	O
the	eggs	<END>	B-OLD
<START>	take	out	O
take	out	quinoa	O
out	quinoa	<END>	B-OLD
<START>	use	flour	O
use	flour	instead	B-NEW
flour	instead	of	O
instead	of	vegan cheese	O
of	vegan cheese	<END>	B-OLD
<START>	replace	eggs	O
replace	eggs	with	B-OLD
eggs	with	olive oil	O
with	olive oil	<END>	B-NEW
<START>	take	out	O
take	out	flour	O
out	flour	<END>	B-OLD
<START>	i	prefer	O
i	prefer	olive oil	O
prefer	olive oil	over	B-OLD
olive oil	over	milk	O
over	milk	<END>	B-NEW
<START>	insert	honey	O
insert	honey	to	B-NEW
honey	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	eliminate	honey	O
eliminate	honey	<END>	B-OLD
<START>	can	we	O
can	we	swap	O
we	swap	cheese	O
swap	cheese	with	B-OLD
cheese	with	olive oil	O
with	olive oil	?	B-NEW
olive oil	?	<END>	I-NEW
<START>	delete	chia	O
delete	chia	seeds	B-OLD
chia	seeds	from	I-OLD
seeds	from	the	O
from	the	list	O
the	list	<END>	B-OLD
<START>	add	milk	O
add	milk	to	B-NEW
milk	to	the	O
to	the	list	O
the	list	<END>	B-NEW
<START>	lets	put	O
lets	put	sugar	O
put	sugar	in	B-NEW
sugar	in	it	O
in	it	<END>	O
<START>	get	rid	O
get	rid	of	O
rid	of	vegan cheese	O
of	vegan cheese	<END>	B-OLD
<START>	eliminate	butter	O
eliminate	butter	<END>	B-OLD
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	olive oil	O
add	olive oil	<END>	B-NEW
<START>	change	tofu	O
change	tofu	to	B-OLD
tofu	to	coconut milk	O
to	coconut milk	<END>	B-OLD
<START>	id	like	O
id	like	to	O
like	to	add	O
to	add	olive oil	O
add	olive oil	<END>	B-NEW
<START>	please	add	O
please	add	sugar	O
add	sugar	<END>	B-NEW
<START>	exchange	olive oil	O
exchange	olive oil	with	B-OLD
olive oil	with	flour	O
with	flour	<END>	B-NEW
<START>	exchange	oat flour	O
exchange	oat flour	with	B-OLD
oat flour	with	flour	O
with	flour	<END>	B-NEW
<START>	skip	the	O
skip	the	chicken	O
the	chicken	<END>	B-OLD
<START>	insert	beef	O
insert	beef	to	B-NEW
beef	to	my	O
to	my	recipe	O
my	recipe	<END>	O
<START>	take	out	O
take	out	tofu	O
out	tofu	<END>	B-OLD
<START>	throw	in	O
throw	in	some	O
in	some	eggs	O
